actors_id,movieid,first_name,last_name,dateofbirth,movie_release_country
9784,2011,Harrison,Ford,7/13/42,USA
9930,1999,Helena,Rojo,8/18/44,MEX
9931,5732,Kai Luke,Brommer,2/17/93,ZAF
9932,5732,Ryan de,Villiers,10/30/92,ZAF
9933,7244,Dali,Benssalah,1/8/92,FRA
9934,7244,Anthony,Bajon,4/7/94,FRA
9935,7244,Alexis,Manenti,2/12/87,FRA
9940,9533,Chris,Langham,4/14/49,GBR
9941,9533,George,Harrison,2/25/43,USA
9942,1999,Stephanie,Cayo,4/8/88,PER
9943,1999,Regina,Blandin,7/15/90,MEX
9944,9533,Andrew,MacLachlan,2/27/41,GBR
9945,1999,Maribel,Verdo,10/2/70,ESP
9947,1999,Manolo,Cardona,4/25/77,COL
9948,1999,Josh Marva de,Tavira,9/27/83,MEX
9951,9533,Sue,Jones Davies,1/1/49,GBR
9952,9533,Gwen,Taylor,2/19/39,GBR
9953,9533,Neil,Innes,12/9/44,GBR
9954,9533,Kenneth,Colley,12/7/37,GBR
9955,9533,Carol,Cleveland,1/13/42,GBR
9956,9533,Terence,Terence,1/24/30,NZL
9957,9533,Michael,Palin,5/5/43,GBR
9958,9533,Terry,Jones,2/1/42,GBR
9959,9533,Eric,Idle,3/29/43,GBR
9961,9533,John,Cleese,10/27/39,GBR
9962,1822,Stephanie,Hsu,11/25/90,USA
9963,1822,Sherry,Cola,11/10/89,CHN
9964,1822,Ashley,Park,6/6/91,USA
9965,5022,Nick,Stahl,12/5/79,USA
9966,5022,Mark,Dacascos,2/26/64,USA
9967,5022,Diego,Tinoco,11/25/97,USA
9968,5022,Madison,Iseman,2/14/97,USA
9969,5022,Famke ,Janssen,11/5/64,NLD
9970,1022,Meka,Srikanth,3/23/68,IND
9971,1022,Saiee,Manjrekar,8/29/98,IND
9972,1022,Sree,Leela,6/14/01,USA
9973,1022,Ram,Pothineni,5/15/88,IND
9974,1404,Anna,Mouglalis,4/26/78,FRA
9975,1404,Pio,Marma,7/13/84,FRA
9976,1404,Sandrine,Bonnaire,5/31/67,FRA
9977,1404,Anamaria,Vartolomei,4/9/99,MDA
9978,2011,Peter,Mayhew,4/30/44,GBR
9979,2011,Kenneth,Baker,8/24/34,GBR
9980,2011,Anthony,Daniels,2/21/46,GBR
9981,2011,Alec,Guinness,4/2/14,GBR
9982,2011,Peter,Cushing,5/26/13,GBR
9983,2011,Carrie,Fisher,10/21/56,USA
9984,1102,Harrison,Ford,7/13/42,USA
9993,9533,Graham,Chapman,10/4/89,GBR
9995,5022,Mackenyu,Maeda,11/16/96,USA
9999,1102,Tom,Cruise,7/3/62,USA
