song_id,name,artist,release_year,album,genre,language,music_relase_country
8191,"Seven Nation Army","The White Stripes",2003,Elephant,Rock,English,USA
8192,"Ta Fete",Stromae,2013,"Racine Carree",Pop,French,FRA
8193,"Everything Counts","Depeche Mode",1983,"Construction Time Again",Pop,English,GBR
8194,Strangers,"Kenya Grace",2023,"Strangers (Single)",Dance,English,KEN
8195,"Adios Amor","Christian Nodal",2016,"Me Deje Llevar","Mariachi Boleo",Spanish,MEX
8196,Show,Ado,2023,"Show (Single)",Dance,Japanese,JPN
8197,"Love Confession","Jay Chou",2016,"Jay Chous Bedtime Stories",Pop,Chinese,CHN
8198,Water,Tyla,2023,"Water (Single)",Pop,English,ZAF
8199,Daylight,"David Kushner",2023,"Daylight (Single)","Gothic Pop",English,USA
8200,"Shree Hanuman Chalisa",Harihana,1992,"Shree Hanuman Chalisa (Hanuman Ashtak)","Devotional Hymn",Hindi,IND
